-75 5625 -149.90.2
-74.9 5610.01 -149.70.2
-74.8 5595.04 -149.50.2
-74.7 5580.09 -149.30.2
-74.6 5565.16 -149.10.2
-74.5 5550.25 -148.90.2
-74.4 5535.36 -148.70.2
-74.3 5520.49 -148.50.2
-74.2 5505.64 -148.30.2
-74.1 5490.81 -148.10.2
-74 5476 -147.90.2
-73.9 5461.21 -147.70.2
-73.8 5446.44 -147.50.2
-73.7 5431.69 -147.30.2
-73.6 5416.96 -147.10.2
-73.5 5402.25 -146.90.2
-73.4 5387.56 -146.70.2
-73.3 5372.89 -146.50.2
-73.2 5358.24 -146.30.2
-73.1 5343.61 -146.10.2
-73 5329 -145.90.2
-72.9 5314.41 -145.70.2
-72.8 5299.84 -145.50.2
-72.7 5285.29 -145.30.2
-72.6 5270.76 -145.10.2
-72.5 5256.25 -144.90.2
-72.4 5241.76 -144.70.2
-72.3 5227.29 -144.50.2
-72.2 5212.84 -144.30.2
-72.1 5198.41 -144.10.2
-72 5184 -143.90.2
-71.9 5169.61 -143.70.2
-71.8 5155.24 -143.50.2
-71.7 5140.89 -143.30.2
-71.6 5126.56 -143.10.2
-71.5 5112.25 -142.90.2
-71.4 5097.96 -142.70.2
-71.3 5083.69 -142.50.2
-71.2 5069.44 -142.30.2
-71.1 5055.21 -142.10.2
-71 5041 -141.90.2
-70.9 5026.81 -141.70.2
-70.8 5012.64 -141.50.2
-70.7 4998.49 -141.30.2
-70.6 4984.36 -141.10.2
-70.5 4970.25 -140.90.2
-70.4 4956.16 -140.70.2
-70.3 4942.09 -140.50.2
-70.2 4928.04 -140.30.2
-70.1 4914.01 -140.10.2
-70 4900 -139.90.2
-69.9 4886.01 -139.70.2
-69.8 4872.04 -139.50.2
-69.7 4858.09 -139.30.2
-69.6 4844.16 -139.10.2
-69.5 4830.25 -138.90.2
-69.4 4816.36 -138.70.2
-69.3 4802.49 -138.50.2
-69.2 4788.64 -138.30.2
-69.1 4774.81 -138.10.2
-69 4761 -137.90.2
-68.9 4747.21 -137.70.2
-68.8 4733.44 -137.50.2
-68.7 4719.69 -137.30.2
-68.6 4705.96 -137.10.2
-68.5 4692.25 -136.90.2
-68.4 4678.56 -136.70.2
-68.3 4664.89 -136.50.2
-68.2 4651.24 -136.30.2
-68.1 4637.61 -136.10.2
-68 4624 -135.90.2
-67.9 4610.41 -135.70.2
-67.8 4596.84 -135.50.2
-67.7 4583.29 -135.30.2
-67.6 4569.76 -135.10.2
-67.5 4556.25 -134.90.2
-67.4 4542.76 -134.70.2
-67.3 4529.29 -134.50.2
-67.2 4515.84 -134.30.2
-67.1 4502.41 -134.10.2
-67 4489 -133.90.2
-66.9 4475.61 -133.70.2
-66.8 4462.24 -133.50.2
-66.7 4448.89 -133.30.2
-66.6 4435.56 -133.10.2
-66.5 4422.25 -132.90.2
-66.4 4408.96 -132.70.2
-66.3 4395.69 -132.50.2
-66.2 4382.44 -132.30.2
-66.1 4369.21 -132.10.2
-66 4356 -131.90.2
-65.9 4342.81 -131.70.2
-65.8 4329.64 -131.50.2
-65.7 4316.49 -131.30.2
-65.6 4303.36 -131.10.2
-65.5 4290.25 -130.90.2
-65.4 4277.16 -130.70.2
-65.3 4264.09 -130.50.2
-65.2 4251.04 -130.30.2
-65.1 4238.01 -130.10.2
-65 4225 -129.90.2
-64.9 4212.01 -129.70.2
-64.8 4199.04 -129.50.2
-64.7 4186.09 -129.30.2
-64.6 4173.16 -129.10.2
-64.5 4160.25 -128.90.2
-64.4 4147.36 -128.70.2
-64.3 4134.49 -128.50.2
-64.2 4121.64 -128.30.2
-64.1 4108.81 -128.10.2
-64 4096 -127.90.2
-63.9 4083.21 -127.70.2
-63.8 4070.44 -127.50.2
-63.7 4057.69 -127.30.2
-63.6 4044.96 -127.10.2
-63.5 4032.25 -126.90.2
-63.4 4019.56 -126.70.2
-63.3 4006.89 -126.50.2
-63.2 3994.24 -126.30.2
-63.1 3981.61 -126.10.2
-63 3969 -125.90.2
-62.9 3956.41 -125.70.2
-62.8 3943.84 -125.50.2
-62.7 3931.29 -125.30.2
-62.6 3918.76 -125.10.2
-62.5 3906.25 -124.90.2
-62.4 3893.76 -124.70.2
-62.3 3881.29 -124.50.2
-62.2 3868.84 -124.30.2
-62.1 3856.41 -124.10.2
-62 3844 -123.90.2
-61.9 3831.61 -123.70.2
-61.8 3819.24 -123.50.2
-61.7 3806.89 -123.30.2
-61.6 3794.56 -123.10.2
-61.5 3782.25 -122.90.2
-61.4 3769.96 -122.70.2
-61.3 3757.69 -122.50.2
-61.2 3745.44 -122.30.2
-61.1 3733.21 -122.10.2
-61 3721 -121.90.2
-60.9 3708.81 -121.70.2
-60.8 3696.64 -121.50.2
-60.7 3684.49 -121.30.2
-60.6 3672.36 -121.10.2
-60.5 3660.25 -120.90.2
-60.4 3648.16 -120.70.2
-60.3 3636.09 -120.50.2
-60.2 3624.04 -120.30.2
-60.1 3612.01 -120.10.2
-60 3600 -119.90.2
-59.9 3588.01 -119.70.2
-59.8 3576.04 -119.50.2
-59.7 3564.09 -119.30.2
-59.6 3552.16 -119.10.2
-59.5 3540.25 -118.90.2
-59.4 3528.36 -118.70.2
-59.3 3516.49 -118.50.2
-59.2 3504.64 -118.30.2
-59.1 3492.81 -118.10.2
-59 3481 -117.90.2
-58.9 3469.21 -117.70.2
-58.8 3457.44 -117.50.2
-58.7 3445.69 -117.30.2
-58.6 3433.96 -117.10.2
-58.5 3422.25 -116.90.2
-58.4 3410.56 -116.70.2
-58.3 3398.89 -116.50.2
-58.2 3387.24 -116.30.2
-58.1 3375.61 -116.10.2
-58 3364 -115.90.2
-57.9 3352.41 -115.70.2
-57.8 3340.84 -115.50.2
-57.7 3329.29 -115.30.2
-57.6 3317.76 -115.10.2
-57.5 3306.25 -114.90.2
-57.4 3294.76 -114.70.2
-57.3 3283.29 -114.50.2
-57.2 3271.84 -114.30.2
-57.1 3260.41 -114.10.2
-57 3249 -113.90.2
-56.9 3237.61 -113.70.2
-56.8 3226.24 -113.50.2
-56.7 3214.89 -113.30.2
-56.6 3203.56 -113.10.2
-56.5 3192.25 -112.90.2
-56.4 3180.96 -112.70.2
-56.3 3169.69 -112.50.2
-56.2 3158.44 -112.30.2
-56.1 3147.21 -112.10.2
-56 3136 -111.90.2
-55.9 3124.81 -111.70.2
-55.8 3113.64 -111.50.2
-55.7 3102.49 -111.30.2
-55.6 3091.36 -111.10.2
-55.5 3080.25 -110.90.2
-55.4 3069.16 -110.70.2
-55.3 3058.09 -110.50.2
-55.2 3047.04 -110.30.2
-55.1 3036.01 -110.10.2
-55 3025 -109.90.2
-54.9 3014.01 -109.70.2
-54.8 3003.04 -109.50.2
-54.7 2992.09 -109.30.2
-54.6 2981.16 -109.10.2
-54.5 2970.25 -108.90.2
-54.4 2959.36 -108.70.2
-54.3 2948.49 -108.50.2
-54.2 2937.64 -108.30.2
-54.1 2926.81 -108.10.2
-54 2916 -107.90.2
-53.9 2905.21 -107.70.2
-53.8 2894.44 -107.50.2
-53.7 2883.69 -107.30.2
-53.6 2872.96 -107.10.2
-53.5 2862.25 -106.90.2
-53.4 2851.56 -106.70.2
-53.3 2840.89 -106.50.2
-53.2 2830.24 -106.30.2
-53.1 2819.61 -106.10.2
-53 2809 -105.90.2
-52.9 2798.41 -105.70.2
-52.8 2787.84 -105.50.2
-52.7 2777.29 -105.30.2
-52.6 2766.76 -105.10.2
-52.5 2756.25 -104.90.2
-52.4 2745.76 -104.70.2
-52.3 2735.29 -104.50.2
-52.2 2724.84 -104.30.2
-52.1 2714.41 -104.10.2
-52 2704 -103.90.2
-51.9 2693.61 -103.70.2
-51.8 2683.24 -103.50.2
-51.7 2672.89 -103.30.2
-51.6 2662.56 -103.10.2
-51.5 2652.25 -102.90.2
-51.4 2641.96 -102.70.2
-51.3 2631.69 -102.50.2
-51.2 2621.44 -102.30.2
-51.1 2611.21 -102.10.2
-51 2601 -101.90.2
-50.9 2590.81 -101.70.2
-50.8 2580.64 -101.50.2
-50.7 2570.49 -101.30.2
-50.6 2560.36 -101.10.2
-50.5 2550.25 -100.90.2
-50.4 2540.16 -100.70.2
-50.3 2530.09 -100.50.2
-50.2 2520.04 -100.30.2
-50.1 2510.01 -100.10.2
-50 2500 -99.90.2
-49.9 2490.01 -99.70.2
-49.8 2480.04 -99.50.2
-49.7 2470.09 -99.30.2
-49.6 2460.16 -99.10.2
-49.5 2450.25 -98.90.2
-49.4 2440.36 -98.70.2
-49.3 2430.49 -98.50.2
-49.2 2420.64 -98.30.2
-49.1 2410.81 -98.10.2
-49 2401 -97.90.2
-48.9 2391.21 -97.70.2
-48.8 2381.44 -97.50.2
-48.7 2371.69 -97.30.2
-48.6 2361.96 -97.10.2
-48.5 2352.25 -96.90.2
-48.4 2342.56 -96.70.2
-48.3 2332.89 -96.50.2
-48.2 2323.24 -96.30.2
-48.1 2313.61 -96.10.2
-48 2304 -95.90.2
-47.9 2294.41 -95.70.2
-47.8 2284.84 -95.50.2
-47.7 2275.29 -95.30.2
-47.6 2265.76 -95.10.2
-47.5 2256.25 -94.90.2
-47.4 2246.76 -94.70.2
-47.3 2237.29 -94.50.2
-47.2 2227.84 -94.30.2
-47.1 2218.41 -94.10.2
-47 2209 -93.90.2
-46.9 2199.61 -93.70.2
-46.8 2190.24 -93.50.2
-46.7 2180.89 -93.30.2
-46.6 2171.56 -93.10.2
-46.5 2162.25 -92.90.2
-46.4 2152.96 -92.70.2
-46.3 2143.69 -92.50.2
-46.2 2134.44 -92.30.2
-46.1 2125.21 -92.10.2
-46 2116 -91.90.2
-45.9 2106.81 -91.70.2
-45.8 2097.64 -91.50.2
-45.7 2088.49 -91.30.2
-45.6 2079.36 -91.10.2
-45.5 2070.25 -90.90.2
-45.4 2061.16 -90.70.2
-45.3 2052.09 -90.50.2
-45.2 2043.04 -90.30.2
-45.1 2034.01 -90.10.2
-45 2025 -89.90.2
-44.9 2016.01 -89.70.2
-44.8 2007.04 -89.50.2
-44.7 1998.09 -89.30.2
-44.6 1989.16 -89.10.2
-44.5 1980.25 -88.90.2
-44.4 1971.36 -88.70.2
-44.3 1962.49 -88.50.2
-44.2 1953.64 -88.30.2
-44.1 1944.81 -88.10.2
-44 1936 -87.90.2
-43.9 1927.21 -87.70.2
-43.8 1918.44 -87.50.2
-43.7 1909.69 -87.30.2
-43.6 1900.96 -87.10.2
-43.5 1892.25 -86.90.2
-43.4 1883.56 -86.70.2
-43.3 1874.89 -86.50.2
-43.2 1866.24 -86.30.2
-43.1 1857.61 -86.10.2
-43 1849 -85.90.2
-42.9 1840.41 -85.70.2
-42.8 1831.84 -85.50.2
-42.7 1823.29 -85.30.2
-42.6 1814.76 -85.10.2
-42.5 1806.25 -84.90.2
-42.4 1797.76 -84.70.2
-42.3 1789.29 -84.50.2
-42.2 1780.84 -84.30.2
-42.1 1772.41 -84.10.2
-42 1764 -83.90.2
-41.9 1755.61 -83.70.2
-41.8 1747.24 -83.50.2
-41.7 1738.89 -83.30.2
-41.6 1730.56 -83.10.2
-41.5 1722.25 -82.90.2
-41.4 1713.96 -82.70.2
-41.3 1705.69 -82.50.2
-41.2 1697.44 -82.30.2
-41.1 1689.21 -82.10.2
-41 1681 -81.90.2
-40.9 1672.81 -81.70.2
-40.8 1664.64 -81.50.2
-40.7 1656.49 -81.30.2
-40.6 1648.36 -81.10.2
-40.5 1640.25 -80.90.2
-40.4 1632.16 -80.70.2
-40.3 1624.09 -80.50.2
-40.2 1616.04 -80.30.2
-40.1 1608.01 -80.10.2
-40 1600 -79.90.2
-39.9 1592.01 -79.70.2
-39.8 1584.04 -79.50.2
-39.7 1576.09 -79.30.2
-39.6 1568.16 -79.10.2
-39.5 1560.25 -78.90.2
-39.4 1552.36 -78.70.2
-39.3 1544.49 -78.50.2
-39.2 1536.64 -78.30.2
-39.1 1528.81 -78.10.2
-39 1521 -77.90.2
-38.9 1513.21 -77.70.2
-38.8 1505.44 -77.50.2
-38.7 1497.69 -77.30.2
-38.6 1489.96 -77.10.2
-38.5 1482.25 -76.90.2
-38.4 1474.56 -76.70.2
-38.3 1466.89 -76.50.2
-38.2 1459.24 -76.30.2
-38.1 1451.61 -76.10.2
-38 1444 -75.90.2
-37.9 1436.41 -75.70.2
-37.8 1428.84 -75.50.2
-37.7 1421.29 -75.30.2
-37.6 1413.76 -75.10.2
-37.5 1406.25 -74.90.2
-37.4 1398.76 -74.70.2
-37.3 1391.29 -74.50.2
-37.2 1383.84 -74.30.2
-37.1 1376.41 -74.10.2
-37 1369 -73.90.2
-36.9 1361.61 -73.70.2
